epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0999,3.22418,4.19838,3.64215,0.68963,0.04749,0.01155,0.00301,2.89106,3.57736,3.17373,0.000475506,0.000475506,0.000475506
2,109.689,2.61312,3.54895,2.79508,0.0442,0.07641,0.02202,0.00607,2.68621,3.53788,2.88613,0.000904724,0.000904724,0.000904724
3,160.675,2.42839,3.33837,2.57101,0.45146,0.0491,0.03446,0.0121,2.49004,3.29413,2.61859,0.00128678,0.00128678,0.00128678
4,211.455,2.34373,3.20229,2.47107,0.42414,0.09871,0.04951,0.01579,2.47737,3.22967,2.62817,0.00121679,0.00121679,0.00121679
5,262.204,2.27084,3.09406,2.38813,0.54212,0.09459,0.0646,0.01953,2.40474,3.22401,2.55114,0.00114606,0.00114606,0.00114606
6,312.969,2.22858,3.00052,2.33695,0.15377,0.10311,0.07409,0.0281,2.30074,3.00742,2.40865,0.00107532,0.00107532,0.00107532
7,364.239,2.20111,2.94805,2.30292,0.47818,0.12814,0.08918,0.03065,2.33182,2.9603,2.44721,0.00100459,0.00100459,0.00100459
8,415.11,2.1717,2.89194,2.27218,0.50941,0.11974,0.09794,0.03569,2.28508,2.90733,2.39391,0.000933851,0.000933851,0.000933851
9,465.883,2.14401,2.85664,2.24,0.30523,0.13917,0.12252,0.04689,2.24145,2.79142,2.33059,0.000863116,0.000863116,0.000863116
10,516.264,2.12944,2.80326,2.22222,0.22074,0.1605,0.12516,0.046,2.23753,2.75227,2.33721,0.00079238,0.00079238,0.00079238
11,566.313,2.15936,2.85308,2.31781,0.27566,0.1685,0.14577,0.0623,2.19744,2.67322,2.25841,0.000721645,0.000721645,0.000721645
12,615.564,2.12916,2.77628,2.28701,0.2249,0.18526,0.14844,0.06143,2.18842,2.62735,2.27728,0.000650909,0.000650909,0.000650909
13,664.06,2.11567,2.70476,2.26877,0.30921,0.17801,0.15003,0.06153,2.18141,2.66653,2.25475,0.000580174,0.000580174,0.000580174
14,714.277,2.08781,2.64408,2.24065,0.28985,0.22197,0.1772,0.07462,2.09915,2.58128,2.18423,0.000509438,0.000509438,0.000509438
15,764.354,2.06647,2.58831,2.21769,0.32453,0.23558,0.194,0.08655,2.07305,2.43251,2.15947,0.000438703,0.000438703,0.000438703
16,814.73,2.0483,2.5324,2.20032,0.32684,0.23653,0.20558,0.09311,2.09051,2.39775,2.17604,0.000367967,0.000367967,0.000367967
17,864.697,2.02344,2.47657,2.18774,0.36229,0.24234,0.21496,0.10015,2.06787,2.37458,2.14439,0.000297232,0.000297232,0.000297232
18,914.856,2.00351,2.42682,2.16228,0.36317,0.24869,0.2307,0.1063,2.04396,2.33306,2.14084,0.000226497,0.000226497,0.000226497
19,965.57,1.9787,2.38353,2.14811,0.3195,0.24753,0.23302,0.11084,2.01963,2.29904,2.10121,0.000155761,0.000155761,0.000155761
20,1015.84,1.96171,2.33009,2.1271,0.34419,0.24892,0.24274,0.11815,2.0136,2.23802,2.09481,8.50255e-05,8.50255e-05,8.50255e-05
