epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2173,2.04407,2.54299,2.12946,0.36249,0.24799,0.22268,0.10073,2.11399,2.39652,2.1807,0.000473025,0.000473025,0.000473025
2,65.7517,2.03676,2.51947,2.12199,0.23379,0.23191,0.17894,0.07922,2.1212,2.58135,2.16759,0.00091803,0.00091803,0.00091803
3,97.1808,2.0614,2.56343,2.13407,0.23508,0.21484,0.11723,0.04829,2.20469,2.831,2.20525,0.0013316,0.0013316,0.0013316
4,128.054,2.06276,2.5684,2.12438,0.30209,0.21312,0.17038,0.06998,2.21191,2.66298,2.24665,0.00128753,0.00128753,0.00128753
5,158.952,2.046,2.53757,2.10882,0.36467,0.175,0.17915,0.07522,2.15999,2.53791,2.23556,0.00124037,0.00124037,0.00124037
6,190.537,2.02289,2.49517,2.09201,0.30834,0.21221,0.18932,0.08045,2.13631,2.44847,2.19067,0.00119322,0.00119322,0.00119322
7,222.014,2.01958,2.46284,2.07801,0.33271,0.20818,0.15501,0.06452,2.15591,2.75023,2.1705,0.00114606,0.00114606,0.00114606
8,253.361,1.99426,2.41942,2.05497,0.3224,0.23392,0.19803,0.09038,2.14935,2.46333,2.16564,0.0010989,0.0010989,0.0010989
9,284.811,1.98233,2.36877,2.03593,0.28831,0.20479,0.18022,0.0832,2.15754,2.63245,2.1997,0.00105174,0.00105174,0.00105174
10,316.296,1.96104,2.34683,2.0301,0.32933,0.25806,0.23174,0.10545,2.08754,2.32786,2.14276,0.00100459,0.00100459,0.00100459
11,347.799,1.94632,2.29039,2.00672,0.37604,0.23876,0.23404,0.11154,2.04854,2.28189,2.07787,0.00095743,0.00095743,0.00095743
12,379.158,1.94492,2.27427,1.98719,0.36351,0.25124,0.23638,0.10914,2.06598,2.3702,2.09674,0.000910273,0.000910273,0.000910273
13,410.673,1.92437,2.22189,1.97377,0.33694,0.25283,0.2125,0.09874,2.06271,2.36448,2.05601,0.000863116,0.000863116,0.000863116
14,442.082,1.8919,2.18986,1.94951,0.37147,0.30316,0.27274,0.1312,2.00721,2.18672,2.05829,0.000815959,0.000815959,0.000815959
15,473.416,1.88507,2.12894,1.94104,0.37348,0.31087,0.27063,0.13169,2.02939,2.16851,2.07021,0.000768802,0.000768802,0.000768802
16,504.377,1.87822,2.12276,1.93734,0.41149,0.31055,0.30225,0.14825,1.97559,2.0907,2.01172,0.000721645,0.000721645,0.000721645
17,535.466,1.8589,2.09472,1.91656,0.39372,0.32615,0.29852,0.14535,1.96455,2.06846,2.00911,0.000674488,0.000674488,0.000674488
18,566.953,1.83928,2.05074,1.89878,0.37048,0.30968,0.28763,0.14832,1.97008,2.12215,2.01356,0.000627331,0.000627331,0.000627331
19,598.535,1.83824,2.03443,1.89208,0.3784,0.34746,0.30908,0.1584,1.92767,2.0386,1.96399,0.000580174,0.000580174,0.000580174
20,629.783,1.82002,1.99797,1.87676,0.40436,0.35656,0.32336,0.1599,1.95615,2.0023,1.99954,0.000533017,0.000533017,0.000533017
21,662.583,1.77503,1.86452,1.9112,0.43721,0.33063,0.32345,0.16518,1.94452,2.05497,1.98187,0.00048586,0.00048586,0.00048586
22,693.355,1.75401,1.80989,1.89611,0.38844,0.32953,0.31809,0.16195,1.9754,2.06747,1.9742,0.000438703,0.000438703,0.000438703
23,724.245,1.70997,1.75134,1.85993,0.4224,0.3666,0.35816,0.19382,1.85808,1.90291,1.9319,0.000391546,0.000391546,0.000391546
24,755.552,1.69757,1.69817,1.84107,0.53155,0.33452,0.36867,0.19723,1.83794,1.88525,1.9064,0.000344389,0.000344389,0.000344389
25,786.851,1.67961,1.6506,1.82091,0.48672,0.3493,0.37717,0.20063,1.8437,1.84618,1.92537,0.000297232,0.000297232,0.000297232
26,817.59,1.65701,1.63088,1.8067,0.44551,0.36887,0.38266,0.20407,1.87487,1.89412,1.94371,0.000250075,0.000250075,0.000250075
27,848.627,1.62706,1.58088,1.78335,0.43863,0.39611,0.38023,0.20897,1.8256,1.8651,1.90993,0.000202918,0.000202918,0.000202918
28,880.139,1.61442,1.55802,1.76827,0.44942,0.39569,0.39026,0.21675,1.8271,1.83339,1.9026,0.000155761,0.000155761,0.000155761
29,911.291,1.60018,1.52997,1.75207,0.43111,0.38851,0.38339,0.21025,1.84009,1.84018,1.90457,0.000108604,0.000108604,0.000108604
30,942.168,1.58119,1.50064,1.73155,0.49408,0.37514,0.3937,0.21533,1.84709,1.84,1.91573,6.1447e-05,6.1447e-05,6.1447e-05
